"","test","replications","elapsed","relative","user.self","sys.self","user.child","sys.child","round"
"179","S3-Rcpp-TopXSort",1000,0.0299999999988358,1.5,0.0300000000000011,0,NA,NA,45
"180","S4-Rcpp-TopXSort",1000,0.0199999999895226,1,0.0100000000000193,0,NA,NA,45
"181","List-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,46
"182","R6-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,46
"183","S3-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,46
"184","S4-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,46
"185","List-Rcpp-TopXSort",1000,0.0200000000040745,1,0.00999999999999091,0,NA,NA,47
"186","R6-Rcpp-TopXSort",1000,0.0299999999988358,1.5,0.0300000000000011,0,NA,NA,47
"187","S3-Rcpp-TopXSort",1000,0.0200000000040745,1,0.00999999999999091,0,NA,NA,47
"188","S4-Rcpp-TopXSort",1000,0.0299999999988358,1.5,0.0300000000000011,0,NA,NA,47
"189","List-Rcpp-TopXSort",1000,0.0299999999988358,1,0.039999999999992,0,NA,NA,48
"190","R6-Rcpp-TopXSort",1000,0.0299999999988358,1,0.039999999999992,0,NA,NA,48
"191","S3-Rcpp-TopXSort",1000,0.0299999999988358,1,0.039999999999992,0,NA,NA,48
"192","S4-Rcpp-TopXSort",1000,0.0299999999988358,1,0.039999999999992,0,NA,NA,48
"193","List-Rcpp-TopXSort",1000,0.0200000000040745,1,0.0100000000000193,0,NA,NA,49
"194","R6-Rcpp-TopXSort",1000,0.0299999999988358,1.5,0.0300000000000011,0,NA,NA,49
"195","S3-Rcpp-TopXSort",1000,0.0299999999988358,1.5,0.0300000000000011,0,NA,NA,49
"196","S4-Rcpp-TopXSort",1000,0.0299999999988358,1.5,0.0300000000000011,0,NA,NA,49
"197","List-Rcpp-TopXSort",1000,0.0299999999988358,3,0.039999999999992,0,NA,NA,50
"198","R6-Rcpp-TopXSort",1000,0.0299999999988358,3,0.0300000000000011,0,NA,NA,50
"199","S3-Rcpp-TopXSort",1000,0.0299999999988358,3,0.039999999999992,0,NA,NA,50
"200","S4-Rcpp-TopXSort",1000,0.0100000000093132,1,0.0199999999999818,0,NA,NA,50
"201","List-Rcpp-TopXSort",1000,0.0299999999988358,3,0.0300000000000011,0,NA,NA,51
"202","R6-Rcpp-TopXSort",1000,0.0299999999988358,3,0.0300000000000011,0,NA,NA,51
"203","S3-Rcpp-TopXSort",1000,0.0299999999988358,3,0.0300000000000011,0,NA,NA,51
"204","S4-Rcpp-TopXSort",1000,0.00999999999476131,1,0.0200000000000102,0,NA,NA,51
"205","List-Rcpp-TopXSort",1000,0.0300000000133878,1.5,0.0300000000000011,0,NA,NA,52
"206","R6-Rcpp-TopXSort",1000,0.0299999999988358,1.5,0.0300000000000011,0,NA,NA,52
"207","S3-Rcpp-TopXSort",1000,0.0300000000133878,1.5,0.0300000000000011,0,NA,NA,52
"208","S4-Rcpp-TopXSort",1000,0.0200000000040745,1,0.00999999999999091,0,NA,NA,52
"209","List-Rcpp-TopXSort",1000,0.0200000000040745,1,0.0200000000000102,0,NA,NA,53
"210","R6-Rcpp-TopXSort",1000,0.0399999999935972,2,0.0300000000000011,0,NA,NA,53
"211","S3-Rcpp-TopXSort",1000,0.0200000000040745,1,0.0200000000000102,0,NA,NA,53
"212","S4-Rcpp-TopXSort",1000,0.0399999999935972,2,0.0300000000000011,0,NA,NA,53
"213","List-Rcpp-TopXSort",1000,0.0299999999988358,3,0.0300000000000011,0,NA,NA,54
"214","R6-Rcpp-TopXSort",1000,0.0299999999988358,3,0.0300000000000011,0,NA,NA,54
"215","S3-Rcpp-TopXSort",1000,0.00999999999476131,1,0.0199999999999818,0,NA,NA,54
"216","S4-Rcpp-TopXSort",1000,0.0299999999988358,3,0.0300000000000011,0,NA,NA,54
"217","List-Rcpp-TopXSort",1000,0.0199999999895226,1,0.0100000000000193,0,NA,NA,55
"218","R6-Rcpp-TopXSort",1000,0.0299999999988358,1.5,0.0300000000000011,0,NA,NA,55
"219","S3-Rcpp-TopXSort",1000,0.0299999999988358,1.5,0.0300000000000011,0,NA,NA,55
"220","S4-Rcpp-TopXSort",1000,0.0299999999988358,1.5,0.0300000000000011,0,NA,NA,55
"221","List-Rcpp-TopXSort",1000,0.0399999999935972,1,0.0300000000000011,0,NA,NA,56
"222","R6-Rcpp-TopXSort",1000,0.0399999999935972,1,0.0300000000000011,0,NA,NA,56
"223","S3-Rcpp-TopXSort",1000,0.0399999999935972,1,0.0300000000000011,0,NA,NA,56
"224","S4-Rcpp-TopXSort",1000,0.0399999999935972,1,0.0300000000000011,0,NA,NA,56
"225","List-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,57
"226","R6-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,57
"227","S3-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,57
"228","S4-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,57
"229","List-Rcpp-TopXSort",1000,0.0399999999935972,1,0.0300000000000011,0,NA,NA,58
"230","R6-Rcpp-TopXSort",1000,0.0399999999935972,1,0.0300000000000011,0,NA,NA,58
"231","S3-Rcpp-TopXSort",1000,0.0399999999935972,1,0.0300000000000011,0,NA,NA,58
"232","S4-Rcpp-TopXSort",1000,0.0399999999935972,1,0.0300000000000011,0,NA,NA,58
"233","List-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,59
"234","R6-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,59
"235","S3-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,59
"236","S4-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,59
"237","List-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,60
"238","R6-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,60
"239","S3-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,60
"240","S4-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,60
"241","List-Rcpp-TopXSort",1000,0.0399999999935972,1,0.0300000000000011,0,NA,NA,61
"242","R6-Rcpp-TopXSort",1000,0.0399999999935972,1,0.0300000000000011,0,NA,NA,61
"243","S3-Rcpp-TopXSort",1000,0.0399999999935972,1,0.0300000000000011,0,NA,NA,61
"244","S4-Rcpp-TopXSort",1000,0.0399999999935972,1,0.0300000000000011,0,NA,NA,61
"245","List-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,62
"246","R6-Rcpp-TopXSort",1000,0.0300000000133878,1,0.0300000000000011,0,NA,NA,62
"247","S3-Rcpp-TopXSort",1000,0.0300000000133878,1,0.0300000000000011,0,NA,NA,62
"248","S4-Rcpp-TopXSort",1000,0.0300000000133878,1,0.0300000000000011,0,NA,NA,62
"249","List-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,63
"250","R6-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,63
"251","S3-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,63
"252","S4-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,63
"253","List-Rcpp-TopXSort",1000,0.0299999999988358,1,0.039999999999992,0,NA,NA,64
"254","R6-Rcpp-TopXSort",1000,0.0500000000029104,1.667,0.0499999999999829,0,NA,NA,64
"255","S3-Rcpp-TopXSort",1000,0.0299999999988358,1,0.039999999999992,0,NA,NA,64
"256","S4-Rcpp-TopXSort",1000,0.0299999999988358,1,0.039999999999992,0,NA,NA,64
"257","List-Rcpp-TopXSort",1000,0.0500000000029104,2.5,0.0300000000000011,0.0100000000000016,NA,NA,65
"258","R6-Rcpp-TopXSort",1000,0.0300000000133878,1.5,0.0300000000000011,0,NA,NA,65
"259","S3-Rcpp-TopXSort",1000,0.0299999999988358,1.5,0.0300000000000011,0,NA,NA,65
"260","S4-Rcpp-TopXSort",1000,0.0200000000040745,1,0.0200000000000102,0,NA,NA,65
"261","List-Rcpp-TopXSort",1000,0.0299999999988358,3,0.0300000000000011,0,NA,NA,66
"262","R6-Rcpp-TopXSort",1000,0.0299999999988358,3,0.039999999999992,0,NA,NA,66
"263","S3-Rcpp-TopXSort",1000,0.00999999999476131,1,0.0200000000000102,0,NA,NA,66
"264","S4-Rcpp-TopXSort",1000,0.0299999999988358,3,0.039999999999992,0,NA,NA,66
"265","List-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,67
"266","R6-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,67
"267","S3-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,67
"268","S4-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,67
"269","List-Rcpp-TopXSort",1000,0.0299999999988358,1.5,0.0300000000000011,0,NA,NA,68
"270","R6-Rcpp-TopXSort",1000,0.0399999999935972,2,0.0500000000000114,0,NA,NA,68
"271","S3-Rcpp-TopXSort",1000,0.0399999999935972,2,0.0300000000000011,0.0199999999999996,NA,NA,68
